,Unnamed: 0,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information,embeddings,similarities
122,122,Bare wire - 2 mm dia.,m,5.5,6.2,0.34,http://doi.org/10.26188/5da5580349dda,"[-0.01787057 -0.00456447  0.00572646 ... -0.01530618 -0.01821783
 -0.00663802]",0.7384736669655674
123,123,Bare wire - 3.2 mm dia.,m,14.1,15.8,0.87,http://doi.org/10.26188/5da5580349dda,"[-1.08771361e-02 -2.28267116e-03  3.10754549e-05 ... -1.14681404e-02
 -1.84074603e-02 -1.58575103e-02]",0.7339880577378046
124,124,Wire Rope - 1.6 mm dia.,m,2.4,2.7,0.15,http://doi.org/10.26188/5da5580349dda,"[-0.02276885 -0.00489059 -0.00262381 ... -0.01467176 -0.01226689
 -0.01864621]",0.7293194480973506
125,125,Wire Rope - 4 mm dia.,m,14.2,15.9,0.87,http://doi.org/10.26188/5da5580349dda,"[-0.0186399   0.00072505 -0.00605831 ... -0.00979511 -0.02035048
 -0.00634001]",0.7398457512726938
126,126,Wire Rope - 8 mm dia.,m,57.8,64.9,3.6,http://doi.org/10.26188/5da5580349dda,"[-0.02982489 -0.00870005  0.00041278 ... -0.0076117  -0.01371593
 -0.01090379]",0.7408558108091077
127,127,Wire Rope - 12 mm dia.,m,127,143,7.8,http://doi.org/10.26188/5da5580349dda,"[-0.02393725  0.00338081 -0.01995902 ... -0.00071028 -0.01225375
 -0.01505752]",0.7309712644526851
128,128,Cold rolled stainless steel,kg,123,168,9.2,http://doi.org/10.26188/5dd09ea396b11,"[-0.02305608  0.0072231  -0.00888592 ... -0.00346696 -0.0089385
 -0.00345053]",0.7496945283571235
129,129,Stainless steel extruded,kg,155,138,11.8,http://doi.org/10.26188/5da557cc41ed8,"[-0.02183988  0.01869311 -0.02738354 ... -0.01452867 -0.01396627
 -0.00556709]",0.7740349575337043
130,130,Stainless steel sheet,kg,97.6,140,7.2,http://doi.org/10.26188/5da557de9ee33,"[-0.01190524  0.00371554 -0.01100137 ... -0.01797407 -0.01452646
  0.00545226]",0.765302233945912
131,131,Stainless steel sheet products,kg,238,263,14.7,http://doi.org/10.26188/5da557de9ee33,"[-0.01285362 -0.00077021 -0.00786199 ... -0.01610846 -0.00869061
 -0.00349017]",0.754178487666794
132,132,Cold rolled steel,kg,51.7,77.6,3.7,http://doi.org/10.26188/5da552dadce9f,"[-0.02807581 -0.00652085 -0.00768308 ...  0.00121432 -0.0132696
 -0.0062539 ]",0.7701327742482242
133,133,Hot rolled galvanised structural steel,kg,43,43.2,3.3,http://doi.org/10.26188/5da5554017f41,"[-0.03544379  0.00919299  0.00457045 ... -0.01996155 -0.00722678
 -0.00325042]",0.7538664011205918
134,134,Hot rolled structural steel,kg,38.8,37.1,2.9,http://doi.org/10.26188/5da55550a40e9,"[-0.02899974  0.00161054 -0.00236699 ... -0.02112081 -0.00268479
  0.00231733]",0.761623466389027
135,135,Steel reinforcement bar - 6 mm dia.,m,8.6,8.2,0.64,http://doi.org/10.26188/5da55550a40e9,"[-0.01596706  0.00515576 -0.01726915 ... -0.02213555  0.00370241
 -0.01787416]",0.7682575537780435
136,136,Steel reinforcement bar - 8 mm dia.,m,15.3,14.6,1.1,http://doi.org/10.26188/5da55550a40e9,"[-0.02423545 -0.00186325 -0.01945179 ... -0.02352186 -0.00053643
 -0.01906857]",0.7696825824097077
137,137,Steel reinforcement bar - 12 mm dia.,m,34.5,32.9,2.6,http://doi.org/10.26188/5da55550a40e9,"[-0.02318538  0.01016436 -0.03608681 ... -0.01755179 -0.00216574
 -0.02080705]",0.7667218004066263
138,138,Steel hollow section extruded,kg,54.8,45.2,4.6,http://doi.org/10.26188/5da558259be14,"[-0.02235018  0.01140735 -0.03501173 ... -0.00882593  0.00087015
  0.00667917]",0.7759262946590362
139,139,"Square tube - 20 × 20 mm, 1.6 mm thick",m,55,45.4,4.6,http://doi.org/10.26188/5da558259be14,"[ 0.00512098 -0.00930338  0.00691887 ... -0.00887214 -0.01679301
 -0.03295185]",0.7511318295872979
140,140,"Square tube - 50 × 50 mm, 2 mm thick",m,172,142,14.5,http://doi.org/10.26188/5da558259be14,"[ 0.00321716 -0.00899721 -0.00682591 ... -0.0102707  -0.0183128
 -0.02248985]",0.7573076899404674
141,141,"Square tube - 100 × 100 mm, 4 mm thick",m,688,568,57.8,http://doi.org/10.26188/5da558259be14,"[ 0.01035667 -0.01293943 -0.00628707 ... -0.01600927 -0.02017501
 -0.02799378]",0.7566700101769677
142,142,Steel bar,kg,29.5,44.3,2.1,http://doi.org/10.26188/5da55814c051c,"[-0.01534138 -0.01075225 -0.01633758 ... -0.02689723 -0.0070929
 -0.01106439]",0.8023499498305023
143,143,Steel pipe,kg,42.9,78.1,3.5,http://doi.org/10.26188/5da5583906307,"[-0.0205194  -0.00958463  0.00430774 ... -0.01140264 -0.02018521
 -0.0080273 ]",0.7957195133987146
144,144,"Steel pipe - 21.3 mm outer dia., 2.6 mm thick",m,51.4,93.7,4.2,http://doi.org/10.26188/5da5583906307,"[-0.00667025  0.0077005   0.02142404 ... -0.00704008 -0.02269205
 -0.01430471]",0.7560688044250722
145,145,"Steel pipe - 42.4 mm outer dia., 2.6 mm thick",m,110,199,9,http://doi.org/10.26188/5da5583906307,"[-0.00374778  0.00771178  0.0155808  ... -0.01261272 -0.02492404
 -0.01990516]",0.7564331424359236
146,146,"Steel pipe - 88.9 mm outer dia., 4 mm thick",m,359,654,29.6,http://doi.org/10.26188/5da5583906307,"[ 0.00648842  0.00667682  0.00692803 ... -0.00719907 -0.02763279
 -0.01250747]",0.7536070708669943
147,147,"Steel pipe - 165.1 mm outer dia., 4.9 mm thick",m,831,1 512,68.5,http://doi.org/10.26188/5da5583906307,"[ 0.00121813  0.00903025  0.00910239 ... -0.01334536 -0.01396837
 -0.02414626]",0.7537447160955038
148,148,Steel sheet corrugated,kg,79.6,73.4,5.5,http://doi.org/10.26188/5da5584b06f9b,"[-0.02318318  0.01029063 -0.00444605 ... -0.01393333 -0.02729423
 -0.01297061]",0.7845232065164855
149,149,Steel sheet corrugated - pre-painted,m²,293,286,24.9,http://doi.org/10.26188/5da5584b06f9b,"[-0.00395251  0.00943922  0.00269947 ... -0.01176002 -0.02540528
 -0.0208547 ]",0.769755138075567
150,150,Steel sheet corrugated - per square metre,m²,259,239,17.9,http://doi.org/10.26188/5da5584b06f9b,"[-0.00488339  0.0171864  -0.00830632 ... -0.01249209 -0.01809918
 -0.03471183]",0.7537330284081001
151,151,Asphalt,kg,4.2,2.9,0.2,http://doi.org/10.26188/5da551ed753b9,"[ 0.00740267  0.00816158 -0.01548437 ... -0.03182084 -0.01732172
 -0.00480308]",0.8067321984086503
152,152,Nylon carpet,m²,465,1 149,31.2,http://doi.org/10.26188/5da5521a352db,"[-0.00781053 -0.01241269 -0.00095741 ... -0.00946731  0.00219918
 -0.02792856]",0.7882860659523165
153,153,"Tufted carpet, nylon - prestige",m²,785,1 866,55.3,http://doi.org/10.26188/5da5521a352db,"[ 0.00317414 -0.02094689  0.0045187  ... -0.01068057  0.00760136
 -0.01771579]",0.7666342321222197
154,154,"Tufted carpet, nylon - quality",m²,484,1 161,33.3,http://doi.org/10.26188/5da5521a352db,"[-0.00326863 -0.01290886  0.00029274 ... -0.00717235  0.00419365
 -0.01593243]",0.7733433219206161
155,155,"Woven carpet, nylon - average",m²,364,908,23.9,http://doi.org/10.26188/5da5521a352db,"[-0.01236909  0.00379795  0.00083145 ... -0.00485217  0.01311082
 -0.04090522]",0.7626142066773552
156,156,"Woven carpet, nylon - quality",m²,376,911,24.8,http://doi.org/10.26188/5da5521a352db,"[-0.00320431 -0.01134384 -0.00469306 ... -0.00890863  0.00360165
 -0.02618019]",0.7671084396670678
157,157,Wool carpet,m²,360,1 343,41,http://doi.org/10.26188/5da55236c5619,"[-0.00424302 -0.00842632 -0.00776947 ... -0.00022248  0.00016722
 -0.01516738]",0.7779660347245158
158,158,"Tufted carpet, wool - prestige",m²,509,1 945,64.2,http://doi.org/10.26188/5da55236c5619,"[ 0.01171746 -0.01680112  0.00817041 ... -0.00895563  0.0048772
 -0.01625958]",0.7716302125189227
159,159,"Tufted carpet, wool - quality",m²,407,1 545,49.1,http://doi.org/10.26188/5da55236c5619,"[ 0.00742231 -0.01173007  0.00521786 ... -0.00726051  0.00048623
 -0.01079976]",0.7729431779263618
160,160,Silicone,kg,224,589,13.8,http://doi.org/10.26188/5da55771ca8cf,"[ 0.00170481  0.00105028 -0.01723751 ... -0.01006649 -0.02485502
 -0.01105419]",0.8028031878367223
161,161,Solar hot water system,no.,24 537,30 097,1 863,http://doi.org/10.26188/5da557a8720ed,"[ 0.00340239  0.01127408 -0.00235825 ... -0.03349046 -0.0139999
 -0.01202872]",0.7657694581809869
162,162,Water,kg,0.017,1,0.001,http://doi.org/10.26188/5da558d1e3aa6,"[ 0.02100099 -0.00495451  0.00066417 ... -0.03490418 -0.02161241
  0.00667579]",0.8331168778579087
163,163,Wood glue (PVA),kg,106,171,5.4,http://doi.org/10.26188/5da558f73d913,"[ 0.00626423 -0.00119517 -0.00860065 ... -0.0231355  -0.00275796
 -0.00980971]",0.777431351582069
164,164,Solvent-based paint,kg,124,197,6.3,http://doi.org/10.26188/5da557baa95ce,"[ 0.00402398  0.00177042 -0.01098568 ... -0.01198438 -0.01014911
 -0.01155637]",0.7911906215338023
165,165,Solvent-based paint - per m²,m²,9.3,14.7,0.47,http://doi.org/10.26188/5da557baa95ce,"[ 0.02009094  0.01386037 -0.00237111 ... -0.01364917 -0.01160311
 -0.03178645]",0.7676294210985565
166,166,Water-based paint,kg,111,206,6.8,http://doi.org/10.26188/5da558e47158f,"[-0.01054143 -0.00506128  0.00635595 ... -0.0201182  -0.01240728
 -0.00286859]",0.7824584280515119
167,167,Water-based paint - per m²,m²,8.7,16.1,0.53,http://doi.org/10.26188/5da558e47158f,"[ 0.01222949  0.00361326  0.00743579 ... -0.02182996 -0.01243222
 -0.02113674]",0.7579940032279291
168,168,Wallpaper,kg,263,448,16,http://doi.org/10.26188/5da558bf3c7d7,"[-0.02022213  0.01581425 -0.00136699 ... -0.01478317  0.00935064
  0.00268726]",0.8028893063983645
169,169,Wallpaper - per m²,m²,45.5,77.5,2.8,http://doi.org/10.26188/5da558bf3c7d7,"[ 0.00137838  0.029572    0.01046192 ... -0.00422222 -0.00190411
 -0.02158099]",0.7505690000665487
170,170,Natural rubber,kg,75.2,92.1,2.5,http://doi.org/10.26188/5da555f8c2b02,"[ 0.0063509  -0.00897468 -0.008201   ... -0.02019639 -0.01928143
 -0.00855084]",0.7754574477642765
171,171,Synthetic rubber,kg,92.8,111,3.7,http://doi.org/10.26188/5da558867e249,"[-0.0078113   0.00294812 -0.02277036 ... -0.01329037 -0.01282393
 -0.01374368]",0.789080611369578
172,172,High-density polyethylene (HDPE) film,kg,147,172,6.4,http://doi.org/10.26188/5da5551da9cb9,"[-0.0186344   0.00668026 -0.00960368 ... -0.02144714 -0.0161993
 -0.02478076]",0.7681173988238847
173,173,HDPE film - 100 μm,m²,13.8,16.2,0.6,http://doi.org/10.26188/5da5551da9cb9,"[-0.01038958 -0.00818532 -0.00624315 ... -0.02426027 -0.0218544
 -0.02288933]",0.7382413163608378
174,174,HDPE film - 200 μm,m²,27.6,32.4,1.2,http://doi.org/10.26188/5da5551da9cb9,"[-0.00816611 -0.00226519 -0.00694187 ... -0.02608582 -0.0183233
 -0.02245344]",0.7385025466359433
175,175,High-density polyethylene (HDPE) pipe,kg,135,130,5.6,http://doi.org/10.26188/5da5552ee9ccf,"[-0.02612401  0.00848902 -0.00910734 ... -0.02730912 -0.01254674
 -0.0096226 ]",0.7705075970578037
176,176,"HDPE pipe - 32 mm inner dia., 1.88 mm thickness",m,12.3,11.9,0.51,http://doi.org/10.26188/5da5552ee9ccf,"[ 0.00918716  0.01150868  0.00767026 ... -0.01125806 -0.00770323
 -0.00265788]",0.7338834485885743
177,177,"HDPE pipe - 63 mm inner dia., 3.75 mm thickness",m,47.7,46.1,2,http://doi.org/10.26188/5da5552ee9ccf,"[-0.01120814  0.01419963  0.00232339 ... -0.01453202 -0.00321087
 -0.01664601]",0.7359231376237839
178,178,"HDPE pipe - 125 mm inner dia., 7.35 mm thickness",m,188,181,7.8,http://doi.org/10.26188/5da5552ee9ccf,"[-0.0069106   0.01269145  0.00189777 ... -0.0205468   0.00466763
 -0.0215378 ]",0.7336135837189591
179,179,"HDPE pipe - 250 mm inner dia., 14.71 mm thickness",m,752,726,31,http://doi.org/10.26188/5da5552ee9ccf,"[-0.0030782   0.00283248  0.00814877 ... -0.02598042 -0.00538602
 -0.02797278]",0.7317325691699381
180,180,"HDPE pipe - 500 mm inner dia., 29.41 mm thickness",m,3 007,2 903,124,http://doi.org/10.26188/5da5552ee9ccf,"[-0.00030365  0.0099292   0.00876184 ... -0.02081352 -0.00742866
 -0.01423385]",0.7311887126403727
181,181,"HDPE pipe - 800 mm inner dia., 47.06 mm thickness",m,7 698,7 433,318,http://doi.org/10.26188/5da5552ee9ccf,"[ 0.00120813  0.01470937  0.00362769 ... -0.02042894 -0.01308088
 -0.00797033]",0.7361691024336173
182,182,Low-density polyethylene (LDPE) film,kg,136,122,6.4,http://doi.org/10.26188/5da55582e7c62,"[-0.00860832  0.00832332 -0.00879616 ... -0.02296847 -0.02120665
 -0.03210145]",0.7581658179749964
183,183,LDPE film - 100 μm,m²,12.3,11.1,0.58,http://doi.org/10.26188/5da55582e7c62,"[-0.00446142 -0.00784836 -0.01031766 ... -0.02666841 -0.02786969
 -0.03513076]",0.7401890971250161
184,184,LDPE film - 200 μm,m²,24.7,22.2,1.2,http://doi.org/10.26188/5da55582e7c62,"[-0.00157045  0.00160713 -0.00768221 ... -0.02779467 -0.02427366
 -0.03435656]",0.7406254288066599
185,185,Low-density polyethylene (LDPE) pipe,kg,130,89.6,6,http://doi.org/10.26188/5da5559330846,"[-0.01797089  0.0144439  -0.01162747 ... -0.02651062 -0.01811301
 -0.01549037]",0.7580467579060093
186,186,"LDPE pipe - 13 mm inner dia., 3.95 mm thickness",m,11,7.6,0.51,http://doi.org/10.26188/5da5559330846,"[-0.00686035  0.00976357 -0.00818602 ... -0.01923549 -0.02447189
 -0.03833842]",0.7400804799618275
187,187,"LDPE pipe - 19 mm inner dia., 4.4 mm thickness",m,17.3,11.9,0.8,http://doi.org/10.26188/5da5559330846,"[-0.0041191   0.00490134  0.00406299 ... -0.02363204 -0.03194946
 -0.03556689]",0.7433235489182
188,188,"LDPE pipe - 25 mm inner dia., 5.2 mm thickness",m,26.6,18.4,1.2,http://doi.org/10.26188/5da5559330846,"[-0.01074673  0.00728367  0.00858811 ... -0.02324154 -0.02102995
 -0.02502935]",0.7406209962639486
189,189,"LDPE pipe - 32 mm inner dia., 6.7 mm thickness",m,43.9,30.3,2,http://doi.org/10.26188/5da5559330846,"[ 0.00946635  0.00876563 -0.00259465 ... -0.01646035 -0.0161827
 -0.02312381]",0.742872117154694
190,190,Nylon 66,kg,335,910,22.2,http://doi.org/10.26188/5da55609d0f6f,"[-0.00760785 -0.01385191 -0.02307761 ...  0.00500394  0.00526132
 -0.01891936]",0.7708979933509158
191,191,Nylon 66 sheet - 1.5 mm,m²,572,1 556,37.9,http://doi.org/10.26188/5da55609d0f6f,"[-0.0003565   0.00426729 -0.01724091 ... -0.00456124 -0.00169932
 -0.02734764]",0.747213889594079
192,192,Nylon 66 sheet - 3 mm,m²,1 145,3 113,75.8,http://doi.org/10.26188/5da55609d0f6f,"[-0.00246283  0.00035951 -0.01408661 ... -0.00342208 -0.00220892
 -0.02604894]",0.7480403776326872
193,193,Nylon 66 sheet - 5 mm,m²,1 908,5 188,126,http://doi.org/10.26188/5da55609d0f6f,"[-0.0071274   0.0006249  -0.01393507 ... -0.00137552 -0.00242964
 -0.02122233]",0.7484939933907488
194,194,Acrylonitrile butadiene styrene (ABS),kg,270,359,16,http://doi.org/10.26188/5da55178a8ecb,"[-0.0072928  -0.00593842 -0.02545969 ... -0.01603114 -0.01017085
 -0.01916965]",0.7882183113080812
195,195,ABS panel - 2mm,m²,577,767,34.3,http://doi.org/10.26188/5da55178a8ecb,"[-0.00794834  0.00574603 -0.01117172 ... -0.00836878 -0.02899041
 -0.02116887]",0.763452609413579
196,196,ABS panel - 3mm,m²,866,1 151,51.4,http://doi.org/10.26188/5da55178a8ecb,"[-0.00699698  0.00509052 -0.01263031 ... -0.00722205 -0.02154037
 -0.03005325]",0.7582592388404844
197,197,"ABS pipe - 21.4 mm outer dia., 2.1 mm thick",m,36.8,48.9,2.2,http://doi.org/10.26188/5da55178a8ecb,"[-0.00868499  0.00925646  0.008067   ... -0.01061868 -0.02865315
 -0.01586821]",0.7456721291419877
198,198,"ABS pipe - 48.3 mm outer dia., 3.6 mm thick",m,146,194,8.7,http://doi.org/10.26188/5da55178a8ecb,"[-0.00212359  0.00385896 -0.00624801 ... -0.01096968 -0.02703598
 -0.01889997]",0.7405114780136346
199,199,"ABS pipe - 168.3 mm outer dia., 7.7 mm thick",m,1 122,1 491,66.6,http://doi.org/10.26188/5da55178a8ecb,"[-0.00178076  0.01160448 -0.00473773 ... -0.0159151  -0.01889836
 -0.0241552 ]",0.7412954834510463
200,200,Ethylene tetrafluoroethylene (ETFE),kg,12 063,22 606,798,http://doi.org/10.26188/5da554446a581,"[-0.0076724  -0.02230778 -0.03791534 ... -0.01806431  0.00652286
 -0.03310695]",0.7716764379432115
201,201,ETFE film - 25.4 μm (0.001”),m²,306,574,20.3,http://doi.org/10.26188/5da554446a581,"[-0.00357607 -0.0077013  -0.01538953 ... -0.01265027  0.00726328
 -0.04714923]",0.7402690502687034
202,202,ETFE film - 50.8 μm (0.002”),m²,613,1 148,40.5,http://doi.org/10.26188/5da554446a581,"[-0.00224027 -0.00855526 -0.02429773 ... -0.00991023  0.006549
 -0.03113147]",0.7429785141156254
203,203,ETFE film - 127 μm (0.005”),m²,1 532,2 871,101,http://doi.org/10.26188/5da554446a581,"[-0.0044672  -0.00260858 -0.02553805 ... -0.00815835  0.00330149
 -0.04155476]",0.7437803695168758
204,204,Glass reinforced plastic (GRP),kg,299,529,18.8,http://doi.org/10.26188/5da55484429d7,"[-0.00581693  0.01139054 -0.01044352 ... -0.02629294 -0.02701636
 -0.0123244 ]",0.8016817792109133
205,205,GRP panel - 10 mm,m²,4 037,7 144,254,http://doi.org/10.26188/5da55484429d7,"[-0.00623919  0.00200425 -0.00512553 ... -0.01163977 -0.01063345
 -0.03010911]",0.754212285500049
206,206,GRP panel - 20 mm,m²,8 075,14 288,509,http://doi.org/10.26188/5da55484429d7,"[-0.00506817  0.00745869  0.00436704 ... -0.00723166 -0.01885707
 -0.02102056]",0.7534306412595068
207,207,GRP panel - 50 mm,m²,20 187,35 719,1 271,http://doi.org/10.26188/5da55484429d7,"[-0.00410179  0.00704965 -0.01348253 ... -0.00873413 -0.01452373
 -0.0162878 ]",0.750726870548931
208,208,Linoleum,kg,58.2,195,4.4,http://doi.org/10.26188/5da555a381ad3,"[ 0.00225056  0.01085962  0.00353358 ... -0.01087903 -0.00194962
 -0.03121978]",0.7766394726766686
209,209,Linoleum sheet - 2 mm,m²,140,469,10.6,http://doi.org/10.26188/5da555a381ad3,"[-0.00090934  0.00464045  0.00397941 ... -0.0082285  -0.00720898
 -0.02867806]",0.7511318080820689
210,210,Linoleum sheet - 2.5 mm,m²,175,586,13.3,http://doi.org/10.26188/5da555a381ad3,"[-0.00850733  0.00441     0.00384654 ... -0.01298898 -0.00461194
 -0.0314237 ]",0.7534922742470537
211,211,Linoleum sheet - 3.2 mm,m²,223,750,17,http://doi.org/10.26188/5da555a381ad3,"[ 0.00576562  0.0087575  -0.00047898 ... -0.00750085 -0.0068888
 -0.03859811]",0.7507443328627226
212,212,Linoleum sheet - 4 mm,m²,279,937,21.2,http://doi.org/10.26188/5da555a381ad3,"[ 0.00179343  0.00929323 -0.00056412 ... -0.01008233 -0.00246515
 -0.03284258]",0.7456805064506971
213,213,Polycarbonate,kg,190,265,14,http://doi.org/10.26188/5da556966a461,"[-8.42399243e-03  7.62233324e-03 -1.34705030e-03 ... -5.08480662e-05
 -2.20127720e-02 -2.07380019e-02]",0.8076657958364603
214,214,Polycarbonate roofing sheet - 1 mm,m²,228,318,16.7,http://doi.org/10.26188/5da556966a461,"[-0.00221017  0.00328301 -0.00539565 ... -0.00157125 -0.02476973
 -0.02516647]",0.7548893350346735
215,215,Polycarbonate roofing sheet - 2 mm,m²,457,635,33.5,http://doi.org/10.26188/5da556966a461,"[-0.00898406  0.00197551 -0.00226733 ... -0.00679378 -0.02979822
 -0.01433515]",0.7573875010740686
216,216,Polycarbonate roofing sheet - 3 mm,m²,685,953,50.2,http://doi.org/10.26188/5da556966a461,"[-0.00588642  0.0039842  -0.00300041 ... -0.00476208 -0.02456541
 -0.02340185]",0.7559326119195887
217,217,Polycarbonate roofing sheet - 6 mm,m²,1 371,1 905,100,http://doi.org/10.26188/5da556966a461,"[-0.00347941  0.00181641 -0.00108528 ... -0.00392005 -0.01239009
 -0.02446684]",0.7520769688548896
218,218,Polymethyl methacrylate (PMMA),kg,230,215,15.4,http://doi.org/10.26188/5da556a82dd9d,"[-0.00960705  0.00634956 -0.03053896 ...  0.00351834 -0.00846184
 -0.03761382]",0.7832656643699358
219,219,PMMA sheet - 3 mm,m²,822,768,54.9,http://doi.org/10.26188/5da556a82dd9d,"[ 0.00248048  0.01752085 -0.0111031  ... -0.00884573 -0.01325547
 -0.03021198]",0.7545177659799728
220,220,PMMA sheet - 4 mm,m²,1 096,1 023,73.2,http://doi.org/10.26188/5da556a82dd9d,"[ 0.00382209  0.01844561 -0.01375561 ... -0.01167916 -0.01506566
 -0.02639766]",0.7554661233894645
221,221,PMMA sheet - 5 mm,m²,1 370,1 279,91.4,http://doi.org/10.26188/5da556a82dd9d,"[-0.0039592   0.01933702 -0.00979399 ... -0.00583148 -0.01128653
 -0.02657519]",0.7557728867196855
222,222,PMMA sheet - 6 mm,m²,1 644,1 535,110,http://doi.org/10.26188/5da556a82dd9d,"[ 0.00455324  0.01914593 -0.00887651 ... -0.00846915 -0.00437584
 -0.03148501]",0.7513540142012866
223,223,PMMA sheet - 8 mm,m²,2 192,2 047,146,http://doi.org/10.26188/5da556a82dd9d,"[-0.00468014  0.01336617 -0.00953877 ... -0.00884468 -0.00899672
 -0.03130672]",0.7549491630551313
224,224,PMMA sheet - 10 mm,m²,2 740,2 558,183,http://doi.org/10.26188/5da556a82dd9d,"[ 0.00089534  0.0061899  -0.01024284 ... -0.01247873 -0.01101452
 -0.03833317]",0.753857729012457
225,225,Polypropylene (PP) sheet,kg,159,186,7.4,http://doi.org/10.26188/5da556bad2165,"[-0.00015407 -0.00236389 -0.00802892 ... -0.00461165 -0.02035763
 -0.01803522]",0.7689464120238256
226,226,PP sheet - 2 mm,m²,287,335,13.4,http://doi.org/10.26188/5da556bad2165,"[-0.00335693  0.02584607 -0.00085086 ...  0.0002123  -0.01712003
 -0.02137016]",0.7582232551606999
227,227,PP sheet - 3 mm,m²,431,502,20,http://doi.org/10.26188/5da556bad2165,"[-0.00057094  0.02742496 -0.00344137 ...  0.0004368  -0.00939338
 -0.02949177]",0.7573260665171054
228,228,PP sheet - 4 mm,m²,574,670,26.7,http://doi.org/10.26188/5da556bad2165,"[-0.00093639  0.02575374 -0.00400298 ... -0.0045508  -0.01157004
 -0.02263848]",0.7558509137075571
229,229,PP sheet - 6 mm,m²,861,1 005,40.1,http://doi.org/10.26188/5da556bad2165,"[ 0.00088212  0.02414442 -0.0010308  ... -0.0003849  -0.00196083
 -0.02796366]",0.7523977314318193
230,230,PP sheet - 10 mm,m²,1 435,1 675,66.8,http://doi.org/10.26188/5da556bad2165,"[-0.00142292  0.00998366  0.00030515 ... -0.00477955 -0.01035515
 -0.03446851]",0.7574534153324767
231,231,PP sheet - 12 mm,m²,1 722,2 010,80.2,http://doi.org/10.26188/5da556bad2165,"[-0.00118279  0.02654784 -0.01581942 ...  0.00805631 -0.00870268
 -0.03249179]",0.7544673613950178
232,232,PP sheet - 15 mm,m²,2 153,2 512,100,http://doi.org/10.26188/5da556bad2165,"[-0.00058269  0.03338495  0.00264973 ...  0.00172939 -0.00741593
 -0.03040795]",0.755085063925223
233,233,Polyurethane (PU) flexible foam,kg,127,443,7.7,http://doi.org/10.26188/5da556dde71cd,"[ 0.01240328 -0.00188695 -0.00858585 ... -0.01107053  0.00764824
 -0.02344032]",0.7727865324373571
234,234,"PU foam underlay - 7 mm, 64 kg/m³",m²,56.8,198,3.4,http://doi.org/10.26188/5da556dde71cd,"[ 0.03574075 -0.00186863 -0.02581861 ... -0.01397521  0.01306722
 -0.02976641]",0.752488154276018
235,235,"PU foam underlay - 7 mm, 69 kg/m³",m²,61.4,214,3.7,http://doi.org/10.26188/5da556dde71cd,"[ 0.03588286  0.00010137 -0.01836234 ... -0.0176389   0.0127129
 -0.02315023]",0.7528435181999168
236,236,"PU foam underlay - 10 mm, 73 kg/m³",m²,92.5,323,5.6,http://doi.org/10.26188/5da556dde71cd,"[ 0.0319385  -0.01295941 -0.01765161 ... -0.01623212  0.00756404
 -0.0317545 ]",0.7535378232671198
237,237,"PU foam underlay - 10 mm, 123 kg/m³",m²,156,543,9.4,http://doi.org/10.26188/5da556dde71cd,"[ 0.03345779 -0.00971482 -0.01803994 ... -0.0094985   0.00522778
 -0.02928868]",0.7510676148761762
238,238,Polyvinyl chloride (PVC) film,kg,190,758,11.2,http://doi.org/10.26188/5da5571457bf1,"[ 0.00751698 -0.00379106 -0.00105036 ... -0.00447827 -0.01605011
 -0.02296781]",0.7739767110087064
239,239,PVC film - 19 μm,m²,5,20,0.3,http://doi.org/10.26188/5da5571457bf1,"[-0.00500042 -0.00557246  0.01492564 ... -0.01681929 -0.02294735
 -0.02840474]",0.7412290900639827
240,240,PVC film - 25 μm,m²,6.6,26.3,0.39,http://doi.org/10.26188/5da5571457bf1,"[-0.01135874 -0.00499246  0.00667195 ... -0.01227901 -0.01206866
 -0.0188655 ]",0.7398177879286144
241,241,Unplasticised polyvinyl chloride (uPVC),kg,76.3,561,4.2,http://doi.org/10.26188/5da558ad914dc,"[-0.01040162 -0.00214809 -0.00294086 ... -0.01390342 -0.0086183
 -0.01469456]",0.774262648075679
242,242,"uPVC pipe - 21.35 mm outer dia., 1.8 mm thick",m,11.7,86.2,0.64,http://doi.org/10.26188/5da558ad914dc,"[ 0.00095268  0.01876762  0.00983097 ... -0.00966658  0.00537909
 -0.01171826]",0.7504550490744178
243,243,"uPVC pipe - 60.25 mm outer dia., 2.6 mm thick",m,50,367,2.7,http://doi.org/10.26188/5da558ad914dc,"[-0.00422739  0.01559074  0.00609788 ... -0.02046121  0.00111071
 -0.00549724]",0.7467006243907763
244,244,"uPVC pipe - 114.3 mm outer dia., 4.85 mm thick",m,177,1 301,9.7,http://doi.org/10.26188/5da558ad914dc,"[ 0.0130733   0.02015631  0.0029902  ... -0.01479797 -0.00340327
 -0.01870811]",0.7472180752887597
245,245,"uPVC pipe - 225.3 mm outer dia., 11.1 mm thick",m,792,5 826,43.2,http://doi.org/10.26188/5da558ad914dc,"[-0.00099396  0.01421761  0.00507352 ... -0.02319509 -0.0043744
 -0.02640974]",0.7500487660282825
246,246,Clay brick,kg,3.5,1.8,0.32,http://doi.org/10.26188/5da552ad307a9,"[-0.01323642  0.01263924 -0.02316537 ... -0.02199726 -0.02563285
 -0.02288975]",0.8129786053717097
247,247,Gravel,kg,0.49,1.9,0.036,http://doi.org/10.26188/5da554c7241e7,"[ 0.01965383 -0.00018132  0.00986599 ... -0.0331341  -0.00460738
 -0.00946223]",0.8124602114662824
