,Unnamed: 0,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information,embeddings,similarities
27,27,FC weatherboard - 180 × 16 mm - per m² wall,m²,549,660,46.9,http://doi.org/10.26188/5da55463adae0,"[-0.00103482  0.02475623 -0.0228356  ... -0.00068381 -0.0028826
 -0.03544551]",0.7424745808583619
28,28,FC weatherboard - 205 × 7.5 mm - per m² wall,m²,304,365,26,http://doi.org/10.26188/5da55463adae0,"[ 0.00577903  0.02019997 -0.02089239 ... -0.00020806  0.00329232
 -0.03304966]",0.7482707149620088
29,29,FC weatherboard - 230 × 7.5 mm - per m² wall,m²,284,341,24.2,http://doi.org/10.26188/5da55463adae0,"[ 0.01430735  0.02272734 -0.02575058 ... -0.00091493  0.00120084
 -0.03352084]",0.7437909304167112
30,30,FC weatherboard - 300 × 7.5 mm - per m² wall,m²,294,354,25.2,http://doi.org/10.26188/5da55463adae0,"[-0.00049028  0.01895923 -0.02334157 ... -0.00151263  0.00236328
 -0.04226109]",0.7435077405545664
31,31,Fibre cement sheet,kg,18.3,19.8,1.6,http://doi.org/10.26188/5da554545f280,"[-0.0133855   0.02703347 -0.01283434 ... -0.03026174 -0.02003889
 -0.02207296]",0.788131036180439
32,32,Fibre cement sheet - 4.5 mm,m²,119,129,10.2,http://doi.org/10.26188/5da554545f280,"[-0.01049821  0.0259004  -0.01373905 ... -0.02530877 -0.01835379
 -0.03171156]",0.7669922354583967
33,33,Fibre cement sheet - 6 mm,m²,159,172,13.5,http://doi.org/10.26188/5da554545f280,"[-0.00267627  0.0229168  -0.00648913 ... -0.02208418 -0.00826009
 -0.0323267 ]",0.7638858029467657
34,34,Fibre cement sheet - 7.5 mm,m²,198,214,16.9,http://doi.org/10.26188/5da554545f280,"[-0.00746854  0.02455823 -0.01458268 ... -0.02411195 -0.00327815
 -0.03436315]",0.7639529105270451
35,35,Fibre cement sheet - 18 mm,m²,475,514,40.6,http://doi.org/10.26188/5da554545f280,"[-0.00875136  0.02445369 -0.00310452 ... -0.0295713  -0.01162672
 -0.03479442]",0.7573537257731493
36,36,Fibre cement sheet - 24 mm,m²,634,686,54.2,http://doi.org/10.26188/5da554545f280,"[-0.00178235  0.03615388 -0.00339354 ... -0.02957087 -0.01694466
 -0.0388924 ]",0.7603222624286621
37,37,Gypsum plaster,kg,6.5,6.5,0.44,http://doi.org/10.26188/5da554d7d6197,"[-0.01591215  0.03252021  0.0185218  ... -0.01753147 -0.0032286
  0.01348317]",0.798079326674998
38,38,Plasterboard - 10 mm,m²,86.1,85.6,5.8,http://doi.org/10.26188/5da556516b6e3,"[-0.00944184 -0.00732907  0.00330202 ... -0.01215169 -0.00891036
 -0.02831895]",0.7635183956036613
39,39,Plasterboard - 13 mm,m²,95.7,97.9,6.5,http://doi.org/10.26188/5da556516b6e3,"[-0.01703238  0.00376653 -0.00426786 ... -0.00215835 -0.01898564
 -0.03268447]",0.7589400649851703
40,40,Concrete roof tile,kg,4.3,5.7,0.39,http://doi.org/10.26188/5da552f96c488,"[-0.00932884 -0.01557276 -0.01728361 ... -0.01017752 -0.01899445
 -0.02839738]",0.8121285332681393
41,41,Double glazing - flat glass,m²,1 336,1 558,101,http://doi.org/10.26188/5da55375f3452,"[ 0.00108689  0.01085739 -0.01272392 ... -0.0208341  -0.02518495
 -0.03133659]",0.7728682330584078
42,42,"Double glazing - flat glass, 4:12:4",m²,1 336,1 558,101,http://doi.org/10.26188/5da55375f3452,"[-0.00531137  0.01858979 -0.02059136 ... -0.0253402  -0.02260602
 -0.03545273]",0.7649084903863993
43,43,"Double glazing - flat glass, 6:6:6",m²,1 441,1 671,108,http://doi.org/10.26188/5da55375f3452,"[ 0.00291228  0.01008715 -0.00837424 ... -0.02673718 -0.00657601
 -0.03914102]",0.7634395512272258
44,44,"Double glazing - flat glass, 6:12:6",m²,1 441,1 671,108,http://doi.org/10.26188/5da55375f3452,"[-0.00085198  0.01737546 -0.01335771 ... -0.02543705 -0.00726587
 -0.03540316]",0.7628566694732314
