Category,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information
"Sand, stone and ceramics",Clay brick,kg,3.5,1.8,0.32,http://doi.org/10.26188/5da552ad307a9
"Sand, stone and ceramics",Gravel,kg,0.49,1.9,0.036,http://doi.org/10.26188/5da554c7241e7
"Sand, stone and ceramics",Recycled aggregate,kg,0.11,0.1,0.008,http://doi.org/10.26188/5da557263ad43
"Sand, stone and ceramics",Sand,kg,0.34,1.8,0.024,http://doi.org/10.26188/5da5574945e6e
"Sand, stone and ceramics",Sanitary ceramic,kg,98,89.8,6.4,http://doi.org/10.26188/5da5575bb1595
"Sand, stone and ceramics",Dimension stone,kg,16.3,16.5,1.3,http://doi.org/10.26188/5da553562c7fa
"Sand, stone and ceramics",Ceramic tile,kg,18.9,15.2,1.3,http://doi.org/10.26188/5da5529e3a6be
"Sand, stone and ceramics",Clay roof tile,kg,7.5,4.7,0.61,http://doi.org/10.26188/5da552bc24123
Timber products,Cork slab,kg,179,199,9.5,http://doi.org/10.26188/5da55336dce12
Timber products,Cork slab - 6 mm,m²,129,143,6.8,http://doi.org/10.26188/5da55336dce12
Timber products,Cork slab - 10 mm,m²,215,238,11.4,http://doi.org/10.26188/5da55336dce12
Timber products,Cork slab - 12 mm,m²,258,286,13.6,http://doi.org/10.26188/5da55336dce12
Timber products,Cork slab - 20 mm,m²,430,477,22.7,http://doi.org/10.26188/5da55336dce12
Timber products,Cork slab - 50 mm,m²,1 074,1 192,56.8,http://doi.org/10.26188/5da55336dce12
Timber products,Hardwood,m³,13 632,19 110,944,http://doi.org/10.26188/5da554ea370a5
Timber products,Hardwood kiln-dried - dressed,m³,41 597,58 411,2 269,http://doi.org/10.26188/5da554ea370a5
Timber products,Hardwood kiln-dried - structural,m³,19 389,25 332,1 178,http://doi.org/10.26188/5da554ea370a5
Timber products,Cross laminated timber (CLT),m³,9 607,8 608,645,http://doi.org/10.26188/5da55346af5dc
Timber products,CLT - 60 mm,m²,576,516,38.7,http://doi.org/10.26188/5da55346af5dc
Timber products,CLT - 105 mm,m²,1 009,904,67.7,http://doi.org/10.26188/5da55346af5dc
Timber products,CLT - 175 mm,m²,1 681,1 506,113,http://doi.org/10.26188/5da55346af5dc
Timber products,Glued laminated timber (glulam),m³,29 996,35 813,1 718,http://doi.org/10.26188/5da554a55f5a5
Timber products,Glulam outdoor,m³,28 279,31 246,1 605,http://doi.org/10.26188/5da554a55f5a5
Timber products,Laminated veneer lumber (LVL),m³,17 479,18 025,1 059,http://doi.org/10.26188/5da55571d9d31
Timber products,MDF sheet,m³,15 016,8 471,899,http://doi.org/10.26188/5da555b3e3bf9
Timber products,Melamine-coated MDF board - 16 mm,m²,344,283,18.7,http://doi.org/10.26188/5da555b3e3bf9
Timber products,Melamine-coated MDF board - 18 mm,m²,390,323,21.3,http://doi.org/10.26188/5da555b3e3bf9
Timber products,Melamine-coated MDF board - 25 mm,m²,557,453,30.5,http://doi.org/10.26188/5da555b3e3bf9
Timber products,OSB sheet,m³,14 422,17 997,751,http://doi.org/10.26188/5da5561c22195
Timber products,Particleboard,m³,12 717,10 720,696,http://doi.org/10.26188/5da5562dbfbf9
Timber products,Particleboard outdoor,m³,15 879,20 491,813,http://doi.org/10.26188/5da5562dbfbf9
Timber products,Plywood,m³,63 691,69 363,3 680,http://doi.org/10.26188/5da556748c57f
Timber products,Plywood outdoor,m³,26 790,23 083,1 777,http://doi.org/10.26188/5da556748c57f
Timber products,Structural insulated panel (SIP),m²,2 624,4 219,135,http://doi.org/10.26188/5da5586fec593
Timber products,SIP - 142 mm,m²,3 327,5 349,171,http://doi.org/10.26188/5da5586fec593
Timber products,SIP - 162 mm,m²,3 795,6 103,195,http://doi.org/10.26188/5da5586fec593
Timber products,Softwood,m³,9 392,13 091,549,http://doi.org/10.26188/5da5578416cc9
Timber products,Softwood kiln-dried,m³,9 704,13 181,583,http://doi.org/10.26188/5da5578416cc9
Insulation,Cavity Air Layers - Air Space,,,,,
Building Envelope,Vapour / Moisture Barriers - Vapour Retarder,,,,,
Building Envelope,Vapour / Moisture Barriers - Damp-Proofing,,,,,
Landscaping or Construction Site Materials,Site - Earth,,,,,
Landscaping or Construction Site Materials,Site - Grass,,,,,
Landscaping or Construction Site Materials,Site - Sand,,,,,
Flooring,Default Floor,,,,,
Pavement Markings or Traffic Control,Parking Stripe,,,,,
Hardware or Building Fixtures,Door - Handle,,,,,
Glass or Glazing,Tempered Glass Block,,,,,
