Name,Category,Category,Locked,Deletable,Id,Family and Type,Family,Type,Family Name,Type Id,PLR_Asset_Name,PLR_Location_Code,PLR_Instance_Number,PLR_Parent_Uniclass_ID,PLR_Parent_Uniclass_Descr.,Image,Keynote,Design Option,Design Option,Model,Manufacturer,Comments,URL,Description,Assembly Description,Assembly Code,Edited by,Workset,Type Name,Cost,Mark,Properties,Subclass,Class,Grade,Species,Thermal expansion coefficient,Bending,Shear modulus,Poisson ratio,Tension perpendicular to grain,Shear parallel to grain,Compression perpendicular to grain,Compression parallel to grain,Young modulus,Material Type,Name,Lightweight,Behavior,Resistance calculation strength,Reduction factor for shear,Minimum tensile strength,Minimum yield stress,Shear strength modification,Shear reinforcement yield stress,Bending reinforcement,Concrete compression,Thermal expansion coefficient Z,Thermal expansion coefficient Y,Thermal expansion coefficient X,Unit weight,Shear modulus Z,Shear modulus Y,Shear modulus X,Poisson ratio Z,Poisson ratio Y,Poisson ratio X,Young modulus Z,Young modulus Y,Young modulus X,Shininess,Smoothness,Glow,Transparency,Color,Phase Demolished,Phase Created
COX - PLY - Plywood,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,417,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,PLY,Revit Element : <None>,Main Model,,,,,PLYWOOD,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - PLY - Plywood,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"219,183,111",Revit Element : <None>,Revit Element : <None>
Cavity Air Layers - Air Space,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,418,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Cavity Air Layers - Air Space,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"255,255,255",Revit Element : <None>,Revit Element : <None>
Vapour / Moisture Barriers - Vapour Retarder,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,421,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Vapour Retarder,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Vapour / Moisture Barriers - Vapour Retarder,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
Vapour / Moisture Barriers - Damp-Proofing,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,422,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Damp Proofing,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Vapour / Moisture Barriers - Damp-Proofing,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
COX - PB - Plasterboard,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,423,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,ILS-101,Revit Element : <None>,Main Model,,,,,PLASTER BOARD,,,,10,,0,PB,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - PB - Plasterboard,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
COX - INS - Insulation - Thermal or Acoustic,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,424,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,INS,Revit Element : <None>,Main Model,,,,,INSULATION - THERMAL OR ACUSTIC,,,,10,,0,INS,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - INS - Insulation - Thermal or Acoustic,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
Site - Earth,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,519,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Earth,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Site - Earth,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"199,179,167",Revit Element : <None>,Revit Element : <None>
Site - Grass,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,520,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Grass,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Site - Grass,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"180,227,172",Revit Element : <None>,Revit Element : <None>
COX - BIT - Bitumen,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,521,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,BIT,Revit Element : <None>,Main Model,,,,,BITUMENT,,,,10,,0,BIT,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - BIT - Bitumen,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"76,75,75",Revit Element : <None>,Revit Element : <None>
Site - Sand,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,522,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Sand,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Site - Sand,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"207,201,197",Revit Element : <None>,Revit Element : <None>
COX - CONC  - Concrete,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,523,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,FLOOR SURFACINGS,Revit Element : <None>,Main Model,,,,,CONCRETE,,,,10,,0,CONC,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - CONC  - Concrete,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"218,218,218",Revit Element : <None>,Revit Element : <None>
COX - GB - Glass Blockwork,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,524,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,GB,Revit Element : <None>,Main Model,,,,,GLASS BLOCKWORK,,,,10,,0,GB,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - GB - Glass Blockwork,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,25,50,FALSE,68,"193,250,253",Revit Element : <None>,Revit Element : <None>
COX - ST - Stone,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,525,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,ST,Revit Element : <None>,Main Model,,,,,STONE,,,,10,,0,ST,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - ST - Stone,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"226,133,122",Revit Element : <None>,Revit Element : <None>
Metal - Panel,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,527,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Metal Panel,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Metal - Panel,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"247,247,247",Revit Element : <None>,Revit Element : <None>
COX - SS - Stainless Steel,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,528,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,TRM-101,Revit Element : <None>,Main Model,,,,,STAINLESS STEEL,,,,10,,0,SS,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - SS - Stainless Steel,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"212,212,212",Revit Element : <None>,Revit Element : <None>
