Materials
 Default 
 Default Roof 
 Phase-Demo 
 Phase-Temp 
 Default Light Source 
 System-Zones 
 Copper 
" Polyvinyl Chloride, Rigid "
" Steel, Carbon "
 Phase-New 
 Default Floor Area Face 
 P1 
 Timber Lining (Cox) 
 Gabian (Cox) 
 Plasterboard Impact (Cox) 
 Generic Wall (Cox) 
 Blockwork (Cox) 
 Metal Stud (Cox) 
 Air Gap (Cox) 
 Fence Chainwire (Cox) 
 Tiles 100 x 100 (Cox) 
 Tiles 100 x 200 (Cox) 
 Paint Matte Black (Cox) 
 Plasterboard Acoustic Rated (Cox) 
 Metal-Aluminium-Anodised-Clear 
 Glass Clear Blue (Cox) 
 GLCL1 
 TMBR1 
 Glass Clear White (Cox) 
 Timber Flooring - 100mm Board 
 Timber Flooring - Pattern 02 
 Timber Flooring - Pattern 04 
 Roofing - Lysaght Custom Orb 
 Roofing - Lysaght Intergrity 
 Roofing - Lysaght Longline 305 
 Roofing - Lysaght Trimdek 
 Roofing - Lysaght Panelrib 
 Generic 
 Steel 
 Concrete - Cast In Situ 
 Site - Earth (Cox) 
 Render Material 255-255-255 
 Acoustic Ceiling Tile 24 x 48 
" Acrylic, Clear "
 Aluminum 
 Aluminum 1100-O 
 Aluminum 3003-H12 
" Aluminum, Anodized Blue "
" Aluminum, Anodized Red "
 Ash 
" Asphalt, Bitumen "
" Asphalt, Pavement, Dark Grey "
 Bamboo 
 Birch - Glossy 
 Blue Stone 
" Brick, Adobe "
" Brick, Common, Brown "
" Brick, Common, Red "
" Brick, Dark Blend, Soldier "
" Brick, Engineering, Soldier Course "
" Brick, Light Blend, Running "
" Brick, Modular "
" Brick, Pavers "
" Brick, Soldier Course "
 Bronze 
 Canvas 
 Carpet 
" Carpet, Berber, Grey Pattern "
" Carpet, Berber, Light Grey "
" Carpet, Berber, Tan Pattern "
" Carpet, Cut Pile, Tan Pattern "
" Carpet, Loop Pile, White "
 Ceiling Tile 600 x 1200 
 Cellulose Fill 
 CFRP 
" Cladding, Vertical Ribbed "
" CMU, Perlite Filled "
" CMU, Split Face "
" Concrete Masonry, Floor Block "
" Concrete, Block pattern formwork "
" Concrete, Broom Finish "
" Concrete, C16/20 "
" Concrete, C25/30 "
" Concrete, C35/45 "
" Concrete, C45/55 "
" Concrete, C70/85 "
" Concrete, C90/105 "
" Concrete, Cast in Situ, Lightweight "
" Concrete, Cast-in-Place - C15 "
" Concrete, Cast-in-Place - C25 "
" Concrete, Cast-in-Place - C35 "
" Concrete, Cast-in-Place - C45 "
" Concrete, Cast-in-Place - C7_5 "
" Concrete, Exposed Aggregate "
" Concrete, Lightweight "
" Concrete, Lightweight, 40 "
" Concrete, Lightweight, 50 "
" Concrete, Normal Weight, 4 ksi "
" Concrete, Plywood formwork "
" Concrete, Precast Panels "
" Concrete, Precast Smooth, Light Grey, Wall Height "
" Concrete, Walkway "
 Cork Tiles 
" Door, Glazing "
 Earth 
 Epoxy Resin 
 Fabric 
 Fieldstone 
 GFRP 
 Glass Fiber Reinforced Gypsum 
" Glass, Bronze Glazing, Low E "
" Glass, Cast, Gray "
" Glass, Clear Glazing, Low E "
" Glass, Green "
 Glue-Laminated Timber 
 Glulam 24h 
 Glulam 28h 
 Glulam 32h 
 Glulam 36h 
" Granite, Cut, Polished "
 Grass 
 Gypsum Wall Board 
" Iron, Cast "
 Jarrah 
" Laminate, Black "
" Laminate, Ivory, Matte "
" Laminate, Navy "
" Laminate, White "
 Laminated Veneer Lumber 
 Lead 
 Limestone 
" Linen, White "
 Mahogany 
 Maple - Glossy 
 Marble 
 MDF Medium Density Fiberboard 
 Metal Deck 
 Metal Furring 
 Metal Roofing 
 Metal Trim 
" Metal, Powder Coated, White "
" Metal, Sheeting Rails "
" Mulch, Black "
" Mulch, Brown Mix "
 Nylon 6 
" Oak, Red "
 Oriented Strand Board 
 Palladium 
 Particleboard 
 Pea Stone - Grey 
 Phenolic Resin 
" Pine, Radiata "
" Pine, Southern "
 Plaster 
" Plastic, Formed "
" Plastic, Opaque Black "
" Plastic, Transparent "
" Plywood, Maple, Finish Grade, Unfinished "
" Plywood, Sheathing "
